# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      23|      0|    1.00|  1.00|                14|             14|             14|               0|     23|            23|         1.00|
|   1|      23|      0|    0.75|  0.64|                 9|             12|             14|               4|     23|            22|         0.96|
|   2|      21|      0|    0.93|  0.93|                14|             15|             15|               0|     21|            21|         1.00|
|   3|      38|      0|    0.58|  0.54|                15|             26|             28|               4|     38|            33|         0.87|
|   4|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|   5|      25|      0|    0.94|  0.94|                17|             18|             18|               0|     25|            24|         0.96|
|   6|      32|      0|    0.71|  0.74|                17|             24|             23|               1|     32|            29|         0.91|
|   7|      27|      0|    0.83|  0.83|                15|             18|             18|               1|     27|            26|         0.96|
|   8|      59|      0|    0.60|  0.61|                27|             45|             44|              10|     59|            56|         0.95|
|   9|      29|      0|    0.58|  0.58|                14|             24|             24|               7|     29|            29|         1.00|
|  10|      77|      0|    0.39|  0.37|                19|             49|             51|              27|     77|            73|         0.95|
|  11|      52|      0|    0.64|  0.60|                25|             39|             42|              14|     52|            49|         0.94|
|  12|      17|      0|    0.67|  0.62|                10|             15|             16|               4|     17|            16|         0.94|
|  13|      34|      0|    0.56|  0.48|                15|             27|             31|              10|     34|            33|         0.97|
|  14|      12|      0|    1.00|  1.00|                 9|              9|              9|               0|     12|            12|         1.00|
|  15|      25|      0|    0.60|  0.57|                12|             20|             21|               6|     25|            24|         0.96|
|  16|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
|  17|       6|      0|    0.43|  0.75|                 3|              7|              4|               1|      6|             5|         0.83|
|  18|      23|      0|    0.67|  0.64|                14|             21|             22|               5|     23|            23|         1.00|
|  19|      23|      0|    0.88|  0.88|                14|             16|             16|               1|     23|            23|         1.00|
|  20|      40|      0|    0.40|  0.36|                10|             25|             28|              12|     40|            34|         0.85|
|  21|      18|      0|    0.93|  0.93|                13|             14|             14|               0|     18|            18|         1.00|
|  22|      38|      0|    0.58|  0.52|                14|             24|             27|               6|     38|            36|         0.95|
|  23|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  24|      17|      0|    0.50|  0.40|                 4|              8|             10|               1|     17|            16|         0.94|
|  25|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  26|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  27|       2|      0|    0.67|  1.00|                 2|              3|              2|               0|      2|             2|         1.00|
|  28|       0|      2|    0.00|  0.00|                 0|              0|              0|               0|      0|             0|         0.00|
|  29|       1|      0|    1.00|  1.00|                 2|              2|              2|               0|      1|             1|         1.00|
|  30|      17|      0|    0.83|  0.67|                10|             12|             15|               1|     17|            17|         1.00|
|  31|       7|      0|    0.80|  0.67|                 4|              5|              6|               0|      7|             5|         0.71|
|  32|       7|      0|    0.80|  0.80|                 4|              5|              5|               0|      7|             7|         1.00|
|  33|       5|      0|    0.33|  0.50|                 2|              6|              4|               0|      5|             4|         0.80|
|  34|       5|      0|    0.75|  0.75|                 3|              4|              4|               0|      5|             4|         0.80|
|  35|       2|      0|    1.00|  1.00|                 2|              2|              2|               0|      2|             2|         1.00|
|  36|       3|      0|    0.75|  1.00|                 3|              4|              3|               0|      3|             3|         1.00|
|  37|       6|      0|    0.50|  0.67|                 4|              8|              6|               1|      6|             6|         1.00|
|  38|      32|      0|    0.65|  0.65|                22|             34|             34|               8|     32|            31|         0.97|
|  39|      37|      0|    0.55|  0.57|                16|             29|             28|               9|     37|            35|         0.95|
|  40|      14|      0|    1.00|  1.00|                 7|              7|              7|               0|     14|            13|         0.93|
|  41|      26|      0|    0.60|  0.57|                12|             20|             21|               7|     26|            26|         1.00|
|  42|       6|      0|    0.43|  0.75|                 3|              7|              4|               1|      6|             5|         0.83|
|  43|      90|      0|    0.62|  0.61|                39|             63|             64|              17|     90|            88|         0.98|
|  44|      35|      0|    0.73|  0.67|                22|             30|             33|               6|     35|            34|         0.97|
|  45|      27|      0|    0.59|  0.59|                10|             17|             17|               4|     27|            26|         0.96|
|  46|      49|      0|    0.64|  0.62|                21|             33|             34|              10|     49|            48|         0.98|
|  47|      30|      0|    0.29|  0.35|                 6|             21|             17|               7|     30|            27|         0.90|
|  48|       1|      0|    0.50|  1.00|                 1|              2|              1|               0|      1|             1|         1.00|
|  49|      16|      0|    0.70|  0.70|                 7|             10|             10|               1|     16|            15|         0.94|
|  50|      14|      0|    0.60|  0.60|                 6|             10|             10|               2|     14|            14|         1.00|
|  51|      14|      0|    0.80|  0.73|                 8|             10|             11|               0|     14|            13|         0.93|
|  52|      20|      0|    0.64|  0.50|                 7|             11|             14|               2|     20|            19|         0.95|
|  53|      20|      0|    0.69|  0.60|                 9|             13|             15|               3|     20|            19|         0.95|
|  54|      14|      0|    0.90|  0.90|                 9|             10|             10|               0|     14|            14|         1.00|
|  55|      23|      0|    0.67|  0.67|                10|             15|             15|               3|     23|            22|         0.96|
|  56|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
|  57|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
|  58|       5|      0|    0.75|  1.00|                 3|              4|              3|               0|      5|             5|         1.00|
|  59|      27|      0|    0.82|  0.82|                18|             22|             22|               3|     27|            27|         1.00|
|  60|      52|      0|    0.59|  0.63|                27|             46|             43|              13|     52|            50|         0.96|
